Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.91      1.06     0.01     1260     0.01     0.01  tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::end() const
  0.91      1.07     0.01                             ACE_OS::memset(void*, int, unsigned long)
  0.91      1.08     0.01                             std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_rightmost()
  0.45      1.08     0.01  2603657     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::~allocator()
  0.45      1.09     0.01  2603620     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::~new_allocator()
  0.45      1.09     0.01  2417072     0.00     0.00  tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::iterator_base::operator->() const
  0.45      1.10     0.01  1317676     0.00     0.00  tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::pre_order_iterator::operator!=(tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::pre_order_iterator const&) const
  0.45      1.10     0.01                             std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_insert_(std::_Rb_tree_node_base const*, std::_Rb_tree_node_base const*, std::pair<std::string const, std::string> const&)
  0.00      1.10     0.00  2692380     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.10     0.00  2661124     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::new_allocator(__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > > const&)
  0.00      1.10     0.00  2661078     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_Rb_tree_impl<std::less<std::string>, false>::_M_initialize()
  0.00      1.10     0.00  2661054     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_root() const
  0.00      1.10     0.00  2660731     0.00     0.00  __gnu_cxx::new_allocator<tree_node_<htmlcxx::HTML::Node> >::max_size() const
  0.00      1.10     0.00  2660510     0.00     0.00  __gnu_cxx::new_allocator<tree_node_<htmlcxx::HTML::Node> >::allocate(unsigned long, void const*)
  0.00      1.10     0.00  2660397     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_Rb_tree(std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > > const&)
  0.00      1.10     0.00  2659897     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::map(std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > > const&)
  0.00      1.10     0.00  2659499     0.00     0.00  void kp::constructor<htmlcxx::HTML::Node, htmlcxx::HTML::Node const>(htmlcxx::HTML::Node*, htmlcxx::HTML::Node const&)
  0.00      1.10     0.00  2603574     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::~map()
  0.00      1.10     0.00  2603505     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_Rb_tree_impl<std::less<std::string>, false>::~_Rb_tree_impl()
  0.00      1.10     0.00  2602902     0.00     0.00  void kp::destructor<htmlcxx::HTML::Node>(htmlcxx::HTML::Node*)
  0.00      1.10     0.00  2602813     0.00     0.00  __gnu_cxx::new_allocator<tree_node_<htmlcxx::HTML::Node> >::deallocate(tree_node_<htmlcxx::HTML::Node>*, unsigned long)
  0.00      1.10     0.00  1652126     0.00     0.00  std::_List_iterator<std::string>::_List_iterator(std::__detail::_List_node_base*)
  0.00      1.10     0.00  1548865     0.00     0.00  std::list<std::string, std::allocator<std::string> >::end()
  0.00      1.10     0.00  1548859     0.00     0.00  std::_List_iterator<std::string>::operator!=(std::_List_iterator<std::string> const&) const
  0.00      1.10     0.00  1445626     0.00     0.00  std::_List_iterator<std::string>::operator*() const
  0.00      1.10     0.00  1315679     0.00     0.00  tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::pre_order_iterator tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::parent<tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::pre_order_iterator>(tree<htmlcxx::HTML::Node, std::allocator<tree_node_<htmlcxx::HTML::Node> > >::pre_order_iterator) const
  0.00      1.10     0.00   890368     0.00     0.00  htmlcxx::HTML::Node::tagName() const
  0.00      1.10     0.00   416881     0.00     0.00  std::_Select1st<std::pair<int const, MessageComponent*> >::operator()(std::pair<int const, MessageComponent*> const&) const
  0.00      1.10     0.00   416854     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
  0.00      1.10     0.00   321126     0.00     0.00  ACE_OS::thread_mutex_lock(pthread_mutex_t*)
  0.00      1.10     0.00   315470     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, std::string> >::_Rb_tree_const_iterator(std::_Rb_tree_node<std::pair<std::string const, std::string> > const*)
  0.00      1.10     0.00   312874     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, MessageComponent*> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<int const, MessageComponent*> >*)
  0.00      1.10     0.00   312552     0.00     0.00  std::_Rb_tree<int, std::pair<int const, MessageComponent*>, std::_Select1st<std::pair<int const, MessageComponent*> >, std::less<int>, std::allocator<std::pair<int const, MessageComponent*> > >::_S_value(std::_Rb_tree_node<std::pair<int const, MessageComponent*> > const*)
  0.00      1.10     0.00   312527     0.00     0.00  std::_Rb_tree<int, std::pair<int const, MessageComponent*>, std::_Select1st<std::pair<int const, MessageComponent*> >, std::less<int>, std::allocator<std::pair<int const, MessageComponent*> > >::_S_key(std::_Rb_tree_node<std::pair<int const, MessageComponent*> > const*)
  0.00      1.10     0.00   308268     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      1.10     0.00   308247     0.00     0.00  std::less<std::string>::operator()(std::string const&, std::string const&) const
  0.00      1.10     0.00   308241     0.00     0.00  std::_Select1st<std::pair<std::string const, std::string> >::operator()(std::pair<std::string const, std::string> const&) const
  0.00      1.10     0.00   260577     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, std::string> >::destroy(std::pair<std::string const, std::string>*)
  0.00      1.10     0.00   260572     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, std::string> >::new_allocator()
  0.00      1.10     0.00   260571     0.00     0.00  std::allocator<std::pair<std::string const, std::string> >::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >(std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > > const&)
  0.00      1.10     0.00   260567     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::get_allocator() const
  0.00      1.10     0.00   260557     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::deallocate(std::_Rb_tree_node<std::pair<std::string const, std::string> >*, unsigned long)
  0.00      1.10     0.00   260555     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_put_node(std::_Rb_tree_node<std::pair<std::string const, std::string> >*)
  0.00      1.10     0.00   260553     0.00     0.00  std::pair<std::string const, std::string>::~pair()
  0.00      1.10     0.00   260550     0.00     0.00  std::pair<std::string const, std::string>* std::__addressof<std::pair<std::string const, std::string> >(std::pair<std::string const, std::string>&)
  0.00      1.10     0.00   260544     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, std::string> >::~new_allocator()
  0.00      1.10     0.00   260536     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<std::string const, std::string> >*)
  0.00      1.10     0.00   260516     0.00     0.00  std::allocator<std::pair<std::string const, std::string> >::~allocator()
  0.00      1.10     0.00   260507     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      1.10     0.00   219851     0.00     0.00  ACE_Unmanaged_Singleton<DBManager, ACE_Null_Mutex>::instance_i()
  0.00      1.10     0.00   219842     0.00     0.00  ACE_Unmanaged_Singleton<DBManager, ACE_Null_Mutex>::instance()
  0.00      1.10     0.00   210808     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      1.10     0.00   210349     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::end() const
  0.00      1.10     0.00   208578     0.00     0.00  std::_Rb_tree<int, std::pair<int const, MessageComponent*>, std::_Select1st<std::pair<int const, MessageComponent*> >, std::less<int>, std::allocator<std::pair<int const, MessageComponent*> > >::end()
  0.00      1.10     0.00   207486     0.00     0.00  std::_Rb_tree<int, std::pair<int const, MessageComponent*>, std::_Select1st<std::pair<int const, MessageComponent*> >, std::less<int>, std::allocator<std::pair<int const, MessageComponent*> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      1.10     0.00   203154     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_key(std::_Rb_tree_node<std::pair<std::string const, std::string> > const*)
  0.00      1.10     0.00   203151     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_value(std::_Rb_tree_node<std::pair<std::string const, std::string> > const*)
  0.00      1.10     0.00   187721     0.00     0.00  ACE_OS::recursive_mutex_unlock(pthread_mutex_t*)
  0.00      1.10     0.00   187336     0.00     0.00  ACE_OS::recursive_mutex_lock(pthread_mutex_t*)
  0.00      1.10     0.00   117574     0.00     0.00  ACE_Recursive_Thread_Mutex::release()
  0.00      1.10     0.00   117535     0.00     0.00  ACE_Recursive_Thread_Mutex::acquire()
  0.00      1.10     0.00   116656     0.00     0.00  ACE_Unmanaged_Singleton<URL_Queue, ACE_Null_Mutex>::instance_i()
  0.00      1.10     0.00   112680     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_left(std::_Rb_tree_node_base const*)
  0.00      1.10     0.00   105130     0.00     0.00  htmlcxx::HTML::Node::attribute(std::string const&) const
  0.00      1.10     0.00   105129     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, std::string> >::operator!=(std::_Rb_tree_const_iterator<std::pair<std::string const, std::string> > const&) const
  0.00      1.10     0.00   105119     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::find(std::string const&) const
  0.00      1.10     0.00   105119     0.00     0.00  std::pair<bool, std::string> std::make_pair<bool, std::string>(bool, std::string)
